DATAFLOW,LAST UPDATE,freq,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2013,423,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2014,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2015,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2016,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2017,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2018,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2019,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2020,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2021,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2022,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2023,,c
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2004,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2005,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2006,966,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2007,946,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2008,890,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2009,640,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2010,674,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,BE,2011,662,
