DATAFLOW,LAST UPDATE,freq,consign,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2012,21593,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2013,23104,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2014,22149,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2015,21357,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2016,21108,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2017,14638,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2018,20404,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2019,19577,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2020,18526,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2021,18292,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2022,18089,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,CH,2023,16131,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2004,94089,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2005,89048,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2006,91894,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2007,96386,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2008,104164,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2010,92984,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2011,105581,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2012,95560,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2013,105337,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2014,107810,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2016,106359,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2017,124033,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2018,107325,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,DE,2019,99868,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2004,42663,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2005,40722,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2006,43560,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2007,40288,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2008,41937,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,THS_T,FI,2009,32860,
