DATAFLOW,LAST UPDATE,freq,unit,nst07,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2011,4512,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2012,3525,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2013,3787,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2014,3208,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2015,3556,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2016,2512,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2017,2415,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2018,2084,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2019,2033,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2020,2658,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2021,2021,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2022,2233,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,FR,2023,2778,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2008,388,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2009,505,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2010,486,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2011,322,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2012,330,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2013,292,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2014,279,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2015,209,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2016,286,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2017,396,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,HR,2018,424,
